postcode,oa11cd,lsoa11cd,msoa11cd,msoa11hclnm,wd19cd,wd19nm,lon,lat
M156GJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156JB,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156LJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156NX,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WA,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WB,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WD,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WE,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WF,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WQ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WT,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156WW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156XA,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156XB,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156XD,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M156ZZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160AU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160AX,E00031374,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.283606,53.460186
M160AZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160BA,E00031370,E01006188,E02001259,Old Trafford,E05000825,Clifford,-2.277315,53.46563
M160BE,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.271095,53.451532
M160BJ,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.270928,53.451326
