area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E09000008,Croydon,Tier 2,145.8,113.8,1.1,5.6,0.1,22.9,22.91346414684872
E09000009,Ealing,Tier 2,161.2,127.3,0.8,6.3,0.2,13.8,24.74907315308798
E09000010,Enfield,Tier 2,199.2,106.6,1.1,7.5,0.3,15.5,26.611809386020436
E09000011,Greenwich,Tier 2,157,111.7,1,6,0,14.1,22.95867619133737
E09000012,Hackney and City of London,Tier 2,167.4,134.7,1.3,6.7,0.1,11,25.797992585224705
E09000013,Hammersmith and Fulham,Tier 2,98.3,39.7,0.8,3.5,0.4,11.3,10.679084908219549
E09000014,Haringey,Tier 2,173.5,84.4,1.5,7.5,0.2,13.2,22.09964734605299
E09000015,Harrow,Tier 2,180,110.2,1.3,6.8,0.2,14.1,25.020345420019897
E09000016,Havering,Tier 2,319.8,242.8,1.1,10.9,0.1,32,51.61406998824487
E09000017,Hillingdon,Tier 2,166.8,145.5,1,5.9,0.1,22.2,27.633601591463968
E09000018,Hounslow,Tier 2,155.4,102.3,0.9,6.2,0.4,10.4,21.674654127859664
E09000019,Islington,Tier 2,120.4,86.9,1.2,5.2,0.3,8.4,16.864092594267113
E09000020,Kensington and Chelsea,Tier 2,103.1,57.3,0.9,4.4,0.4,10.5,12.722669319106611
E09000021,Kingston upon Thames,Tier 2,208.4,106.4,1.4,6.9,0.1,19.1,27.70594086264581
E09000022,Lambeth,Tier 2,114.7,63.3,1,3.5,0.1,10.6,14.22370919612985
E09000023,Lewisham,Tier 2,113.5,111.1,1.2,5,0,12.8,18.78108328058595
E09000024,Merton,Tier 2,186.9,125.9,1.3,7.6,0.3,17.1,27.416583777918436
E09000025,Newham,Tier 2,243.3,221.2,1.1,11.1,0.4,15.9,41.332851071525454
E09000026,Redbridge,Tier 2,295.5,208.5,1,11,0.2,25.1,45.70033456912922
E09000027,Richmond upon Thames,Tier 2,82.3,55.4,0.9,3.5,0.2,14.6,10.94131476625373
E09000028,Southwark,Tier 2,107,100.3,1,4.4,0,9.7,16.86409259426711
E09000029,Sutton,Tier 2,155.6,95.8,1.2,5.8,0.4,23.6,22.289537932905322
E09000030,Tower Hamlets,Tier 2,207.2,191.9,1,8.2,0.4,15.1,35.075504114296045
E09000031,Waltham Forest,Tier 2,257.4,190.4,1.2,10,0.4,15.7,39.714259878831726
E09000032,Wandsworth,Tier 2,120.7,62.7,1.3,4.8,0.3,12.8,15.0736956325165
E09000033,Westminster,Tier 2,92.6,52.3,1,4.9,0.4,10.6,11.384392802242516
